opt_code,school_year,school_name,longitude,latitude,city,how_long_delayed
05194,2015-2016,CS 194,-73.940977,40.821463,Manhattan,46-60 Min
05194,2015-2016,CS 194,-73.940977,40.821463,Manhattan,31-45 Min
05194,2015-2016,CS 194,-73.940977,40.821463,Manhattan,61-90 Min
05194,2015-2016,CS 194,-73.940977,40.821463,Manhattan,0-15 Min
05197,2015-2016,PS 197 JOHN RUSSWURM,-73.937414,40.813226,Manhattan,16-30 Min
05197,2015-2016,PS 197 JOHN RUSSWURM,-73.937414,40.813226,Manhattan,0-15 Min
05197,2015-2016,PS 197 JOHN RUSSWURM,-73.937414,40.813226,Manhattan,31-45 Min
05197,2015-2016,PS 197 JOHN RUSSWURM,-73.937414,40.813226,Manhattan,61-90 Min
05197,2015-2016,PS 197 JOHN RUSSWURM,-73.937414,40.813226,Manhattan,46-60 Min
05200,2015-2016,PS 200 JAMES MCCUNE SMITH,-73.936804,40.824408,Manhattan,61-90 Min
05200,2015-2016,PS 200 JAMES MCCUNE SMITH,-73.936804,40.824408,Manhattan,16-30 Min
05200,2015-2016,PS 200 JAMES MCCUNE SMITH,-73.936804,40.824408,Manhattan,31-45 Min
05200,2015-2016,PS 200 JAMES MCCUNE SMITH,-73.936804,40.824408,Manhattan,0-15 Min
05200,2015-2016,PS 200 JAMES MCCUNE SMITH,-73.936804,40.824408,Manhattan,46-60 Min
05284,2015-2016,PROMISE ACADEMY 1 H.S.,-73.947025,40.811839,Manhattan,61-90 Min
05284,2015-2016,PROMISE ACADEMY 1 H.S.,-73.947025,40.811839,Manhattan,46-60 Min
05284,2015-2016,PROMISE ACADEMY 1 H.S.,-73.947025,40.811839,Manhattan,31-45 Min
05284,2015-2016,PROMISE ACADEMY 1 H.S.,-73.947025,40.811839,Manhattan,16-30 Min
05286,2015-2016,IS 286 R.M.L.A.,-73.955267,40.815318,Manhattan,0-15 Min
05286,2015-2016,IS 286 R.M.L.A.,-73.955267,40.815318,Manhattan,46-60 Min
05286,2015-2016,IS 286 R.M.L.A.,-73.955267,40.815318,Manhattan,61-90 Min
05286,2015-2016,IS 286 R.M.L.A.,-73.955267,40.815318,Manhattan,16-30 Min
05286,2015-2016,IS 286 R.M.L.A.,-73.955267,40.815318,Manhattan,31-45 Min
05318,2015-2016,THURGOOD MARSHALL LOWER SCH,-73.938058,40.826068,Manhattan,0-15 Min
05318,2015-2016,THURGOOD MARSHALL LOWER SCH,-73.938058,40.826068,Manhattan,61-90 Min
05318,2015-2016,THURGOOD MARSHALL LOWER SCH,-73.938058,40.826068,Manhattan,46-60 Min
05318,2015-2016,THURGOOD MARSHALL LOWER SCH,-73.938058,40.826068,Manhattan,31-45 Min
05318,2015-2016,THURGOOD MARSHALL LOWER SCH,-73.938058,40.826068,Manhattan,16-30 Min
05341,2015-2016,PROMISE ACADEMY II M.S.,-73.941175,40.806055,Manhattan,46-60 Min
05341,2015-2016,PROMISE ACADEMY II M.S.,-73.941175,40.806055,Manhattan,31-45 Min
05341,2015-2016,PROMISE ACADEMY II M.S.,-73.941175,40.806055,Manhattan,0-15 Min
05341,2015-2016,PROMISE ACADEMY II M.S.,-73.941175,40.806055,Manhattan,16-30 Min
05362,2015-2016,COLUMBIA SECONDARY SCHOOL,-73.955852,40.810535,Manhattan,16-30 Min
05362,2015-2016,COLUMBIA SECONDARY SCHOOL,-73.955852,40.810535,Manhattan,31-45 Min
05362,2015-2016,COLUMBIA SECONDARY SCHOOL,-73.955852,40.810535,Manhattan,0-15 Min
05362,2015-2016,COLUMBIA SECONDARY SCHOOL,-73.955852,40.810535,Manhattan,46-60 Min
05365,2015-2016,THURG MARSHAL ACAD LRNG SOC CH,-73.944252,40.815441,Manhattan,0-15 Min
05365,2015-2016,THURG MARSHAL ACAD LRNG SOC CH,-73.944252,40.815441,Manhattan,31-45 Min
05365,2015-2016,THURG MARSHAL ACAD LRNG SOC CH,-73.944252,40.815441,Manhattan,46-60 Min
05365,2015-2016,THURG MARSHAL ACAD LRNG SOC CH,-73.944252,40.815441,Manhattan,61-90 Min
05365,2015-2016,THURG MARSHAL ACAD LRNG SOC CH,-73.944252,40.815441,Manhattan,16-30 Min
05369,2015-2016,U.A.SCH FOR PERFORMING ARTS,-73.955267,40.815318,Manhattan,16-30 Min
05369,2015-2016,U.A.SCH FOR PERFORMING ARTS,-73.955267,40.815318,Manhattan,31-45 Min
05369,2015-2016,U.A.SCH FOR PERFORMING ARTS,-73.955267,40.815318,Manhattan,46-60 Min
05369,2015-2016,U.A.SCH FOR PERFORMING ARTS,-73.955267,40.815318,Manhattan,61-90 Min
05369,2015-2016,U.A.SCH FOR PERFORMING ARTS,-73.955267,40.815318,Manhattan,0-15 Min
05385,2015-2016,SUCCESS ACAD-NORTH WEST-MS,-73.955267,40.815318,Manhattan,16-30 Min
05385,2015-2016,SUCCESS ACAD-NORTH WEST-MS,-73.955267,40.815318,Manhattan,46-60 Min
05403,2015-2016,MOTT HALL PS/IS 223,-73.95281,40.81545,Manhattan,46-60 Min
05403,2015-2016,MOTT HALL PS/IS 223,-73.95281,40.81545,Manhattan,16-30 Min
05403,2015-2016,MOTT HALL PS/IS 223,-73.95281,40.81545,Manhattan,0-15 Min
05403,2015-2016,MOTT HALL PS/IS 223,-73.95281,40.81545,Manhattan,31-45 Min
05403,2015-2016,MOTT HALL PS/IS 223,-73.95281,40.81545,Manhattan,61-90 Min
05440,2015-2016,P138M @ P030M,-73.935739,40.80609,Manhattan,0-15 Min
05440,2015-2016,P138M @ P030M,-73.935739,40.80609,Manhattan,31-45 Min
05440,2015-2016,P138M @ P030M,-73.935739,40.80609,Manhattan,16-30 Min
05440,2015-2016,P138M @ P030M,-73.935739,40.80609,Manhattan,61-90 Min
05440,2015-2016,P138M @ P030M,-73.935739,40.80609,Manhattan,46-60 Min
05445,2015-2016,KIPP STAR COLLEGE PREP CHARTER,-73.955999,40.810598,Manhattan,46-60 Min
05445,2015-2016,KIPP STAR COLLEGE PREP CHARTER,-73.955999,40.810598,Manhattan,61-90 Min
05445,2015-2016,KIPP STAR COLLEGE PREP CHARTER,-73.955999,40.810598,Manhattan,31-45 Min
05445,2015-2016,KIPP STAR COLLEGE PREP CHARTER,-73.955999,40.810598,Manhattan,16-30 Min
05445,2015-2016,KIPP STAR COLLEGE PREP CHARTER,-73.955999,40.810598,Manhattan,0-15 Min
05450,2015-2016,P751M @ TEACHERS COLLEGE,-73.960037,40.809782,Manhattan,16-30 Min
05450,2015-2016,P751M @ TEACHERS COLLEGE,-73.960037,40.809782,Manhattan,31-45 Min
05450,2015-2016,P751M @ TEACHERS COLLEGE,-73.960037,40.809782,Manhattan,46-60 Min
05450,2015-2016,P751M @ TEACHERS COLLEGE,-73.960037,40.809782,Manhattan,0-15 Min
05455,2015-2016,HARLEM VILLAGE ACADEMY,-73.940977,40.821463,Manhattan,31-45 Min
05455,2015-2016,HARLEM VILLAGE ACADEMY,-73.940977,40.821463,Manhattan,16-30 Min
05455,2015-2016,HARLEM VILLAGE ACADEMY,-73.940977,40.821463,Manhattan,46-60 Min
05455,2015-2016,HARLEM VILLAGE ACADEMY,-73.940977,40.821463,Manhattan,61-90 Min
05455,2015-2016,HARLEM VILLAGE ACADEMY,-73.940977,40.821463,Manhattan,0-15 Min
05463,2015-2016,P751M @ PARA TRAINING,-73.935739,40.80609,Manhattan,31-45 Min
05463,2015-2016,P751M @ PARA TRAINING,-73.935739,40.80609,Manhattan,46-60 Min
05481,2015-2016,DEMOCRACY PREP HARLEM-ELEM,-73.939346,40.807347,Manhattan,61-90 Min
05481,2015-2016,DEMOCRACY PREP HARLEM-ELEM,-73.939346,40.807347,Manhattan,46-60 Min
05481,2015-2016,DEMOCRACY PREP HARLEM-ELEM,-73.939346,40.807347,Manhattan,31-45 Min
05481,2015-2016,DEMOCRACY PREP HARLEM-ELEM,-73.939346,40.807347,Manhattan,0-15 Min
05481,2015-2016,DEMOCRACY PREP HARLEM-ELEM,-73.939346,40.807347,Manhattan,16-30 Min
05499,2015-2016,FREDERICK DOUGLAS ACAD. HS,-73.936935,40.824235,Manhattan,46-60 Min
05499,2015-2016,FREDERICK DOUGLAS ACAD. HS,-73.936935,40.824235,Manhattan,16-30 Min
05499,2015-2016,FREDERICK DOUGLAS ACAD. HS,-73.936935,40.824235,Manhattan,0-15 Min
05499,2015-2016,FREDERICK DOUGLAS ACAD. HS,-73.936935,40.824235,Manhattan,31-45 Min
05514,2015-2016,NEW DESIGN MS,-73.956483,40.819093,Manhattan,31-45 Min
05514,2015-2016,NEW DESIGN MS,-73.956483,40.819093,Manhattan,16-30 Min
05514,2015-2016,NEW DESIGN MS,-73.956483,40.819093,Manhattan,61-90 Min
05514,2015-2016,NEW DESIGN MS,-73.956483,40.819093,Manhattan,0-15 Min
05514,2015-2016,NEW DESIGN MS,-73.956483,40.819093,Manhattan,46-60 Min
05517,2015-2016,TEACHERS COLLEGE ELEMENTARY,-73.953408,40.812453,Manhattan,16-30 Min
05517,2015-2016,TEACHERS COLLEGE ELEMENTARY,-73.953408,40.812453,Manhattan,61-90 Min
05517,2015-2016,TEACHERS COLLEGE ELEMENTARY,-73.953408,40.812453,Manhattan,31-45 Min
